Heading A	Heading B	Heading C	Heading D	url A	url B	url C	url D	Long_Name	Short_Name	Units	Static_colourbar_url	Dynamic_colourbar_url	delta_t(yy/mm/dd/hr/mn/ss)
CO	0-6km	night	1	_ims_metopc_tir_qnrt_	c02	_night	_global_g0.5_qc0	"IMS-CO (0-6km, 1night)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c02.png	empty	empty
CO	6-12km	night	1	_ims_metopc_tir_qnrt_	c08	_night	_global_g0.5_qc0	"IMS-CO (6-12km, 1night)"	CO	xppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_c08.png	empty	empty
HCOOH	Column_Average	day	1	_ims_metopc_tir_qnrt_	hcooh	_day	_global_g0.5_qc0	IMS-HCOOH(1day)	HCOOH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_hcooh.png	empty	empty
HCOOH	Column_Average	night	1	_ims_metopc_tir_qnrt_	hcooh	_night	_global_g0.5_qc0	IMS-HCOOH(1night)	HCOOH	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_hcooh.png	empty	empty
HNO3	Column_Average	day	1	_ims_metopc_tir_qnrt_	hno3	_day	_global_g0.5_qc0	IMS-HNO3 (1day)	HNO3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
HNO3	Column_Average	night	1	_ims_metopc_tir_qnrt_	hno3	_night	_global_g0.5_qc0	IMS-HNO3 (1night)	HNO3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
NH3	Column_Average	day	1	_ims_metopc_tir_qnrt_	nh3	_day	_global_g0.5_qc0	IMS-NH3 (1day)	NH3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
NH3	Column_Average	night	1	_ims_metopc_tir_qnrt_	nh3	_night	_global_g0.5_qc0	IMS-NH3 (1night)	NH3	ppbv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_nh3.png	empty	empty
Ozone	Total	day	1	_ims_metopc_tir_qnrt_	o04	_day	_global_g0.5_qc0	"IMS-Ozone (Total Col, 1day)"	Ozone	DU	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_o04.png	empty	empty
Ozone	0-6km	day	1	_ims_metopc_tir_qnrt_	o02	_day	_global_g0.5_qc0	"IMS-Ozone (0-6km, 1day)"	Ozone	DU	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_o02.png	empty	empty
